track_id,track_name,artist_name,danceability,energy,valence,acousticness,tempo,loudness,popularity
catalog_0,Jazz Track 0,Artist 0,0.9113069251523739,0.2163003984386742,0.7359113279587416,0.7922796710373259,120.24555414650577,-6.709220980785947,82
catalog_1,Rock Track 1,Artist 1,0.04006120600299967,0.36722891401789703,0.6785597567276705,0.6360781996625817,194.28538929598506,-16.378799483541645,80
catalog_2,Country Track 2,Artist 2,0.14887127845368497,0.4005803640667702,0.3384624397872159,0.4698680218171598,90.16219104765275,-12.433340806444015,22
catalog_3,Classical Track 3,Artist 3,0.1805001955275709,0.5091123943707485,0.40350230168792245,0.9193631014502116,198.11963543529768,-11.980756341708936,17
catalog_4,Classical Track 4,Artist 4,0.2443472483763497,0.21181212597945764,0.8817372080159457,0.6929987261200891,166.8734442357107,-9.341013293145897,88
catalog_5,Classical Track 5,Artist 5,0.313353839615086,0.02975356074623925,0.24504773916889844,0.3668458980417917,98.67880887742339,-12.899954001363081,75
catalog_6,Classical Track 6,Artist 6,0.18865657781058243,0.008433890603365413,0.32401283962888117,0.9427841308595306,198.67900851547526,-1.8228070692165304,29
catalog_7,Country Track 7,Artist 7,0.32740791872162966,0.5985019396284095,0.7747462403223703,0.34400538592063024,155.27066095896953,-17.121986056615604,37
catalog_8,Rock Track 8,Artist 8,0.2282559237565931,0.5920160957476802,0.4468752108846169,0.1598058197148421,106.7686063666223,-16.641259885270795,99
catalog_9,R&B Track 9,Artist 9,0.13248610341363065,0.5190764897107579,0.32408652342911215,0.5772256181532812,165.57691704198137,-6.484301850566883,17
catalog_10,Country Track 10,Artist 10,0.28757195597660123,0.17340541675796495,0.4973252684499575,0.8199904338554136,163.65340848993887,-7.567936439705633,78
catalog_11,Pop Track 11,Artist 11,0.9144825768292586,0.2839640714424655,0.18962366249937845,0.2701523385803746,169.84990030743916,-17.178764098584416,89
catalog_12,R&B Track 12,Artist 12,0.3007485935746169,0.3917788013204172,0.7089529100996841,0.944186467133865,60.932258543512866,-4.59667841874349,60
catalog_13,Rock Track 13,Artist 13,0.02082480727348135,0.06301515689987047,0.8632289630682036,0.8705647953324851,100.04376008168148,-0.6900654200343546,4
catalog_14,Jazz Track 14,Artist 14,0.1236071197304559,0.40847813666166377,0.06186348553691545,0.49164398374390483,67.99259289503486,-5.694374019814376,93
catalog_15,Country Track 15,Artist 15,0.9000783634647043,0.9553273497175822,0.5318082289340663,0.43357854803110096,149.62482976338043,-10.104409772153053,13
catalog_16,Pop Track 16,Artist 16,0.5269490090707092,0.788190148019435,0.8014412736296892,0.3698950682143328,80.13366487000401,-2.423848495983087,93
catalog_17,Country Track 17,Artist 17,0.57272871039253,0.6588620467417963,0.42499150974547983,0.11291424330196265,128.49971177721176,-12.431127605645468,55
catalog_18,Electronic Track 18,Artist 18,0.5375465173863985,0.7272676975259756,0.6283886928468034,0.04233700538594065,162.19198735347737,-17.756862369867996,14
catalog_19,Jazz Track 19,Artist 19,0.451978369124723,0.5066397816380462,0.2822272704584825,0.3527592018853617,102.05033905308657,-2.824179347038683,67
catalog_20,Country Track 20,Artist 20,0.767966378498012,0.3967309227587421,0.3837154448952308,0.362485120625742,154.05522703187597,-2.6860038751638093,29
catalog_21,Pop Track 21,Artist 21,0.26253685603925203,0.027684835441539102,0.7453072462757302,0.8263925643555112,62.557240976579074,-1.9456926768022385,85
catalog_22,Classical Track 22,Artist 22,0.5479274203883535,0.2957956509279699,0.9597534099109168,0.0175043331140301,124.98615144033378,-1.753582277177891,30
catalog_23,Hip-Hop Track 23,Artist 23,0.8570411755357138,0.188705045400002,0.3476803785560908,0.8331822174968619,108.5110350649147,-5.421677946466213,35
catalog_24,Hip-Hop Track 24,Artist 24,0.08995194280035956,0.801821603720226,0.21419503439841137,0.9148693084344922,73.28350991133267,-2.394247884368127,80
catalog_25,Country Track 25,Artist 25,0.5727896466926203,0.9127191452173978,0.5456165662992736,0.650970738763282,165.31068657780935,-6.958129286481348,19
catalog_26,Hip-Hop Track 26,Artist 26,0.8399077040402855,0.27680635702870293,0.7895096604385733,0.08117389910691108,188.64731032461458,-2.8978490244448025,69
catalog_27,R&B Track 27,Artist 27,0.8413741697960292,0.027114625178075946,0.7408634566816786,0.6671332412449904,151.7700754905479,-8.296512790692514,86
catalog_28,Jazz Track 28,Artist 28,0.9687527753198546,0.8009682318784471,0.22980276100376762,0.2061116830553571,72.78641523901362,-4.294488615783212,61
catalog_29,Electronic Track 29,Artist 29,0.7653817870401806,0.5409754303238847,0.3706706772470517,0.3784019599059266,156.10486501039253,-13.268479719588782,84
catalog_30,Pop Track 30,Artist 30,0.5603374083653369,0.3311441487844484,0.6334422507271348,0.6540206713048304,126.41989458952844,-13.300056602349288,30
catalog_31,Rock Track 31,Artist 31,0.19539046461841358,0.675973359229428,0.9231887049497387,0.08617779366112455,126.95431475698464,-16.737552898800875,39
catalog_32,Hip-Hop Track 32,Artist 32,0.7674373327197406,0.6825492848916095,0.3947085201945023,0.2770351567907442,79.01868687960221,-4.645372317866627,47
catalog_33,Jazz Track 33,Artist 33,0.048625777241123824,0.29371341011726615,0.095833729220694,0.23407362446474667,181.88100006287738,-13.295344920939836,58
catalog_34,Pop Track 34,Artist 34,0.9767462575555,0.25192333012747936,0.7645872538645789,0.40861633060972824,189.13186600316664,-7.526775829995639,62
catalog_35,Pop Track 35,Artist 35,0.06566377153761549,0.18956012205770845,0.5631539171181104,0.7385842050291866,79.93178365811588,-11.197156145575974,17
catalog_36,R&B Track 36,Artist 36,0.7367865836316383,0.7025983553739112,0.36837997314573045,0.7721514298070378,101.29437297502318,-9.730293486077219,13
catalog_37,Hip-Hop Track 37,Artist 37,0.7690512967958809,0.004907835161421681,0.6245139085391799,0.2165477362944872,157.91847960215568,-17.11076025111073,88
